"Population","Age","OwnsHome","Rent_medgross","PersonsperHouse","HSgrad","BAgrad","NoHealthInsurance_under65","Commute_minutes","Income_pcap","Poverty","Pop_psqMile","State"
4903185,16.9,68.6,772,2.55,85.8,24.9,12,24.7,26846,16.8,94.4,"Alabama"
731545,11.8,64,1231,2.81,92.7,29.2,14.3,18.8,35874,10.9,1.2,"Alaska"
7278717,17.5,63.6,1009,2.69,86.8,28.9,12.7,25.3,29265,14,56.3,"Arizona"
3017804,17,65.7,729,2.52,86.2,22.6,9.8,21.7,25635,17.2,56,"Arkansas"
39512223,14.3,54.6,1429,2.96,82.9,33.3,8.3,29.3,35021,12.8,239.1,"California"
5758736,14.2,64.9,1196,2.56,91.4,40.1,8.6,25.5,36415,9.6,48.5,"Colorado"
3565287,17.2,66.3,1156,2.54,90.5,38.9,6.2,26.3,43056,10.4,738.1,"Connecticut"
973764,18.7,71.1,1110,2.58,89.8,31.4,6.8,25.8,33989,12.5,460.8,"Delaware"
705749,12.1,41.8,1487,2.29,90.6,57.6,4.3,30.3,53321,16.1,9856.6,"District of Columbia"
21477737,20.5,65,1128,2.65,88,29.2,16,27.4,30197,13.6,350.6,"Florida"
10617423,13.9,63.1,968,2.71,86.7,30.7,15.7,28.4,29523,14.3,168.4,"Georgia"
1415872,18.4,58.3,1566,3.02,91.8,32.5,4.9,27.4,34035,8.8,211.8,"Hawaii"
1787065,15.9,69.3,825,2.68,90.6,26.9,13.2,20.7,26772,11.8,19,"Idaho"
12671821,15.6,66,984,2.59,88.9,34.1,8.1,29,34463,12.1,231.1,"Illinois"
6732219,15.8,68.9,807,2.53,88.6,25.9,9.7,23.6,28461,13.1,181,"Indiana"
3155070,17.1,71.1,766,2.41,92,28.2,5.6,19.1,31085,11.2,54.5,"Iowa"
2913314,15.9,66.3,831,2.52,90.7,32.9,10.3,19.3,30757,12,34.9,"Kansas"
4467673,16.4,67,741,2.49,85.7,23.6,6.7,23.3,26948,16.9,109.9,"Kentucky"
4648794,15.4,65.3,850,2.61,84.8,23.7,9.3,25.5,27027,18.6,104.9,"Louisiana"
1344212,20.6,72.2,831,2.33,92.3,30.9,10,24,31253,11.6,43.1,"Maine"
6045680,15.4,66.8,1357,2.67,90,39.6,6.9,32.9,40517,9,594.8,"Maryland"
6892503,16.5,62.3,1225,2.53,90.4,42.9,3.2,29.7,41794,10,839.4,"Massachusetts"
9986857,17.2,71,850,2.49,90.5,28.6,6.4,24.5,30336,14.1,174.8,"Michigan"
5639632,15.9,71.6,944,2.49,93,35.4,5.1,23.5,36245,9.6,66.6,"Minnesota"
2976149,15.9,68.2,762,2.62,83.9,21.8,14.4,24.6,23434,19.7,63.2,"Mississippi"
6137428,16.9,66.8,809,2.47,89.6,28.6,11.2,23.6,29537,13.2,87.1,"Missouri"
1068778,18.7,67.7,783,2.39,93.2,31.2,10,18,29765,13,6.8,"Montana"
1934408,15.7,66.1,805,2.46,91.1,31.3,9.7,18.6,31101,11,23.8,"Nebraska"
3080156,15.7,55.8,1060,2.68,86.3,24.2,13,24.3,29961,12.9,24.6,"Nevada"
1359711,18.1,71,1077,2.46,92.9,36.5,6.9,27.3,38548,7.6,147,"New Hampshire"
8882190,16.1,63.9,1295,2.71,89.5,38.9,8.7,31.7,40895,9.5,1195.5,"New Jersey"
2096829,17.5,67.6,828,2.64,85.3,27.1,11.4,22.1,26085,19.5,17,"New Mexico"
19453561,16.4,53.9,1240,2.6,86.5,35.9,6.3,33.3,37470,13.6,411.2,"New York"
10488084,16.3,65,877,2.52,87.4,30.5,12.7,24.5,29456,14,196.1,"North Carolina"
762062,15.3,62.7,806,2.31,92.5,29.5,8.4,17.1,35373,10.7,9.7,"North Dakota"
11689100,17.1,66,788,2.43,90.1,27.8,7.7,23.5,30304,13.9,282.3,"Ohio"
3956971,15.7,65.6,793,2.58,87.8,25.2,16.7,21.7,27432,15.6,54.7,"Oklahoma"
4217737,17.6,61.9,1050,2.51,90.4,32.9,8.4,23.7,32045,12.6,39.9,"Oregon"
12801989,18.2,69,915,2.46,90.2,30.8,6.7,26.9,32889,12.2,283.9,"Pennsylvania"
1059361,17.2,60.3,981,2.47,88,33.3,4.8,24.8,34619,12.9,1018.1,"Rhode Island"
5148714,17.7,68.9,868,2.54,87.1,27.4,12.7,24.6,27986,15.3,153.9,"South Carolina"
884659,16.6,68.1,722,2.43,91.7,28.5,11.6,17,29801,13.1,10.7,"South Dakota"
6829174,16.4,66.3,841,2.53,87,26.6,12,25,28511,15.3,153.9,"Tennessee"
28995881,12.6,61.9,998,2.86,83.2,29.3,20,26.4,30143,14.9,96.3,"Texas"
3205958,11.1,69.9,988,3.13,92,33.3,10.5,21.7,28239,9,33.6,"Utah"
623989,19.4,70.7,972,2.31,92.6,37.3,4.9,22.9,33238,11,67.9,"Vermont"
8535519,15.4,66.2,1202,2.61,89.3,38.2,10.2,28.4,37763,10.7,202.6,"Virginia"
7614893,15.4,62.7,1194,2.55,91.1,35.3,7.5,27.6,36888,10.3,101.2,"Washington"
1792147,19.9,72.9,711,2.42,86.5,20.3,7.9,25.8,25479,17.8,77.1,"West Virginia"
5822434,17,66.9,837,2.4,91.9,29.5,6.5,22,32018,11,105,"Wisconsin"
578759,16.5,69.4,843,2.46,92.9,26.9,12.5,17.8,32295,11.1,5.8,"Wyoming"
3193694,20.7,68.1,474,2.78,75.5,25.3,7.9,29.2,12451,43.1,1088.2,"Puerto Rico"
168485,9.54,NA,NA,NA,NA,NA,NA,NA,NA,23,774.4,"Guam"
51433,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.7,"Northern Mariana Islands"
106235,19.19,NA,NA,NA,NA,NA,NA,NA,NA,28.9,769.2,"Virgin Islands"
